Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
Acura,Integra A-SPEC,Full-size,1.5,4,AV7,Z,8.1,6.5,7.4,38,172
Acura,Integra A-SPEC,Full-size,1.5,4,M6,Z,8.9,6.5,7.8,36,181
Acura,Integra Type S,Full-size,2,4,M6,Z,11.1,8.3,9.9,29,230
Acura,MDX SH-AWD,Sport utility vehicle: Small,3.5,6,AS10,Z,12.6,9.4,11.2,25,263
Acura,MDX SH-AWD Type S,Sport utility vehicle: Standard,3,6,AS10,Z,13.8,11.2,12.4,23,291
Acura,RDX SH-AWD,Sport utility vehicle: Small,2,4,AS10,Z,11,8.6,9.9,29,232
Acura,RDX SH-AWD A-SPEC,Sport utility vehicle: Small,2,4,AS10,Z,11.3,9.1,10.3,27,241
Alfa Romeo,Giulia,Mid-size,2,4,A8,Z,10,7.2,8.7,32,205
Alfa Romeo,Giulia AWD,Mid-size,2,4,A8,Z,10.5,7.7,9.2,31,217
Alfa Romeo,Giulia Quadrifoglio,Mid-size,2.9,6,A8,Z,13.5,9.3,11.6,24,271
Alfa Romeo,Stelvio,Sport utility vehicle: Small,2,4,A8,Z,10.3,8.1,9.3,30,218
Alfa Romeo,Stelvio AWD,Sport utility vehicle: Small,2,4,A8,Z,10.8,8.3,9.6,29,226
Alfa Romeo,Stelvio AWD Quadrifoglio,Sport utility vehicle: Small,2.9,6,A8,Z,13.9,10.3,12.3,23,288
Alfa Romeo,Tonale AWD,Sport utility vehicle: Small,2,4,A9,X,11.2,8.2,9.8,29,231
Aston Martin,DB12,Minicompact,4,8,A8,Z,15.9,10.5,13.5,21,316
Aston Martin,DBS V12,Minicompact,5.2,12,A8,Z,16.4,10.7,13.8,20,324
Aston Martin,DBX V8,Sport utility vehicle: Standard,4,8,A9,Z,16.8,11.9,14.6,19,343
Aston Martin,DBX707,Sport utility vehicle: Standard,4,8,A9,Z,15.7,12,14,20,329
Aston Martin,Valour,Two-seater,5.2,12,M6,Z,18.9,13.1,16.3,17,383
Audi,A3 40 TFSI quattro,Subcompact,2,4,AM7,X,9.2,6.9,8.1,35,191
Audi,A4 45 TFSI quattro,Compact,2,4,AM7,Z,10,7.4,8.8,32,208
Audi,A4 allroad 45 TFSI quattro,Station wagon: Small,2,4,AM7,Z,10.3,7.8,9.2,31,215
Audi,A5 Cabriolet 45 TFSI quattro,Subcompact,2,4,AM7,Z,9.8,7.1,8.6,33,202
Audi,A5 Coupé 45 TFSI quattro,Subcompact,2,4,AM7,Z,10,7.4,8.8,32,208
Audi,A5 Sportback 45 TFSI quattro,Mid-size,2,4,AM7,Z,10,7.4,8.8,32,208
Audi,A6 45 TFSI quattro,Mid-size,2,4,AM7,Z,10.4,7.2,9,31,210
Audi,A6 55 TFSI quattro,Mid-size,3,6,AM7,Z,10.9,8,9.6,29,225
Audi,A6 allroad 55 TFSI quattro,Station wagon: Mid-size,3,6,AM7,Z,10.9,8,9.6,29,225
Audi,A7 Sportback 55 TFSI quattro,Mid-size,3,6,AM7,Z,10.9,8,9.6,29,225
Audi,A8 L 55 TFSI quattro,Full-size,3,6,AS8,Z,12.4,8.4,10.6,27,249
Audi,Q3 40 TFSI quattro,Sport utility vehicle: Small,2,4,AS8,X,10.7,8.1,9.5,30,224
Audi,Q3 45 TFSI quattro,Sport utility vehicle: Small,2,4,AS8,X,11.5,8.5,10.2,28,239
Audi,Q5 40 TFSI quattro,Sport utility vehicle: Small,2,4,AM7,Z,10.1,8,9.2,31,215
Audi,Q5 45 TFSI quattro,Sport utility vehicle: Small,2,4,AM7,Z,11,8.5,9.9,29,230
Audi,Q5 Sportback 45 TFSI quattro,Sport utility vehicle: Small,2,4,AM7,Z,11,8.5,9.9,29,230
Audi,Q7 45 TFSI quattro,Sport utility vehicle: Standard,2,4,AS8,Z,12.3,9.4,11,26,258
Audi,Q7 55 TFSI quattro,Sport utility vehicle: Standard,3,6,AS8,Z,12.7,9.8,11.4,25,268
Audi,Q8 55 TFSI quattro,Sport utility vehicle: Standard,3,6,AS8,Z,13.6,10.4,12.1,23,285
Audi,RS 5 Coupé,Subcompact,2.9,6,AS8,Z,12.9,9.3,11.3,25,264
Audi,RS 5 Sportback,Mid-size,2.9,6,AS8,Z,13.3,9.6,11.6,24,272
Audi,RS 6 Avant performance,Station wagon: Mid-size,4,8,AS8,Z,16.9,11,14.2,20,335
Audi,RS 7 Sportback performance,Mid-size,4,8,AS8,Z,16.9,11,14.2,20,335
Audi,RS Q8,Sport utility vehicle: Standard,4,8,AS8,Z,17.7,12.4,15.3,18,357
Audi,S3 quattro,Subcompact,2,4,AM7,Z,10.2,7.4,8.9,32,208
Audi,S4 quattro,Compact,3,6,AS8,Z,11.1,8.1,9.7,29,228
Audi,S5 Cabriolet quattro,Subcompact,3,6,AS8,Z,11.9,8.8,10.5,27,247
Audi,S5 Coupé quattro,Subcompact,3,6,AS8,Z,11.1,8.1,9.7,29,228
Audi,S5 Sportback quattro,Mid-size,3,6,AS8,Z,11.8,8.2,10.2,28,238
Audi,S6 quattro,Mid-size,2.9,6,AS8,Z,12.3,8.8,10.7,26,252
Audi,S7 quattro,Mid-size,2.9,6,AS8,Z,12.3,8.8,10.7,26,252
Audi,S8 quattro,Full-size,4,8,AS8,Z,16,10,13.3,21,312
Audi,SQ5 quattro,Sport utility vehicle: Small,3,6,AS8,Z,12.6,9.8,11.4,25,266
Audi,SQ5 Sportback quattro,Sport utility vehicle: Small,3,6,AS8,Z,12.6,9.8,11.4,25,266
Audi,SQ7 quattro,Sport utility vehicle: Standard,4,8,AS8,Z,16,11.5,13.9,20,326
Audi,SQ8 quattro,Sport utility vehicle: Standard,4,8,AS8,Z,15.6,11.5,13.8,20,322
Bentley,Bentayga,Sport utility vehicle: Standard,4,8,AS8,Z,17.1,11.4,14.6,19,343
Bentley,Bentayga EWB,Sport utility vehicle: Standard,4,8,AS8,Z,17.1,11.4,14.6,19,343
Bentley,Continental GT,Subcompact,4,8,AM8,Z,16.4,10.5,13.7,21,322
Bentley,Continental GT,Subcompact,6,12,AM8,Z,19.2,11.4,15.7,18,367
Bentley,Continental GT Convertible,Minicompact,4,8,AM8,Z,16.7,11.4,14.3,20,337
Bentley,Continental GT Convertible,Minicompact,6,12,AM8,Z,19.8,12.7,16.6,17,388
Bentley,Flying Spur,Mid-size,4,8,AM8,Z,16.1,11.9,14.2,20,333
Bentley,Flying Spur,Mid-size,6,12,AM8,Z,19.3,12.4,16.2,17,378
BMW,230i xDrive Coupe,Subcompact,2,4,AS8,Z,9.6,7.1,8.4,34,195
BMW,330i xDrive Sedan,Compact,2,4,AS8,Z,9.8,7,8.6,33,200
BMW,430i xDrive Cabriolet,Subcompact,2,4,AS8,Z,10,7.1,8.7,32,203
BMW,430i xDrive Coupe,Subcompact,2,4,AS8,Z,10,7.1,8.7,32,203
BMW,530i xDrive Sedan,Mid-size,2,4,AS8,Z,8.7,6.8,7.9,36,182
BMW,760i xDrive Sedan,Full-size,4.4,8,AS8,Z,13.3,9.3,11.5,25,265
BMW,ALPINA B8 Gran Coupe,Mid-size,4.4,8,AS8,Z,14.1,9.9,12.2,23,284
BMW,ALPINA XB7,Sport utility vehicle: Standard,4.4,8,AS8,Z,15.2,11.6,13.6,21,314
BMW,M2 Coupe,Subcompact,3,6,AS8,Z,14.6,10.3,12.7,22,294
BMW,M2 Coupe,Subcompact,3,6,M6,Z,14.3,10,12.4,23,287
BMW,M240i xDrive Coupe,Subcompact,3,6,AS8,Z,10.4,7.4,9,31,210
BMW,M3 Sedan,Compact,3,6,M6,Z,14.7,10.1,12.6,22,293
BMW,M3 Competition M xDrive Sedan,Compact,3,6,AS8,Z,14.6,10.5,12.7,22,296
BMW,M3 CS Sedan,Compact,3,6,AS8,Z,15.3,10.6,13.2,21,305
BMW,M340i xDrive Sedan,Compact,3,6,AS8,Z,10.4,7.5,9.1,31,212
BMW,M4 Competition M xDrive Cabriolet,Subcompact,3,6,AS8,Z,15.1,10.4,12.9,22,301
BMW,M4 Competition M xDrive Coupe,Subcompact,3,6,AS8,Z,14.6,10.5,12.7,22,296
BMW,M4 Coupe,Subcompact,3,6,M6,Z,14.7,10.1,12.6,22,293
BMW,M440i xDrive Cabriolet,Subcompact,3,6,AS8,Z,10.4,7.5,9.1,31,211
BMW,M440i xDrive Coupe,Subcompact,3,6,AS8,Z,10.7,7.5,9.3,30,216
BMW,M8 Competition Cabriolet,Subcompact,4.4,8,AS8,Z,16,10.9,13.7,21,321
BMW,M8 Competition Coupe,Subcompact,4.4,8,AS8,Z,16,10.9,13.7,21,321
BMW,M8 Competition Gran Coupe,Mid-size,4.4,8,AS8,Z,16,10.9,13.7,21,321
BMW,M850i xDrive Cabriolet,Subcompact,4.4,8,AS8,Z,14.1,9.9,12.2,23,284
BMW,M850i xDrive Coupe,Subcompact,4.4,8,AS8,Z,14.1,9.9,12.2,23,284
BMW,M850i xDrive Gran Coupe,Mid-size,4.4,8,AS8,Z,14.1,9.9,12.2,23,284
BMW,X1 xDrive28i,Sport utility vehicle: Small,2,4,AM7,Z,9.6,7,8.4,34,195
BMW,X1 M35i xDrive,Sport utility vehicle: Small,2,4,AM7,Z,10.1,7.6,9,31,208
BMW,X2 xDrive28i,Sport utility vehicle: Small,2,4,AM7,Z,9.7,7.1,8.5,33,198
BMW,X2 M35i xDrive,Sport utility vehicle: Small,2,4,AM7,Z,10.3,7.3,8.9,32,207
BMW,X3 xDrive30i,Sport utility vehicle: Small,2,4,AS8,Z,11,8.4,9.9,29,229
BMW,X3 M,Sport utility vehicle: Small,3,6,AS8,Z,15.7,11.7,13.9,20,323
BMW,X3 M Competition,Sport utility vehicle: Small,3,6,AS8,Z,15.7,11.7,13.9,20,323
BMW,X3 M40i,Sport utility vehicle: Small,3,6,AS8,Z,10.9,9,10.1,28,235
BMW,X4 xDrive30i,Sport utility vehicle: Small,2,4,AS8,Z,11,8.4,9.9,29,229
BMW,X4 M,Sport utility vehicle: Small,3,6,AS8,Z,15.7,11.7,13.9,20,323
BMW,X4 M Competition,Sport utility vehicle: Small,3,6,AS8,Z,15.7,11.7,13.9,20,323
